,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,MaritalStatus_Married,MaritalStatus_Single,Churn
0,-0.14252392205607364,1.472648190796273,-1.2172187574333722,0.11261584969249212,-0.894639549426496,0.7182054473869395,-0.859745017675031,-0.6350309687016776,-0.7523914926176368,-0.21051413140549993,-0.9177516313686906,0.7797107821360236,0.24383658944632436,1,0,0,1,0,1,0,0,0,0,0,0
1,0.1374374539146419,1.472648190796273,-0.41305743831544384,-1.31482493679141,-0.894639549426496,-0.009287139405865528,-0.4697062548301811,1.5747263508179803,1.2338351127466711,-1.4062722478403535,1.9514922017513245,0.43712488030862207,-1.2136754125178175,1,0,0,1,0,1,0,1,0,0,0,0
2,-0.5218896030370964,1.472648190796273,-0.14500366527613445,-1.31482493679141,-0.894639549426496,-0.7367797261986706,-0.859745017675031,-0.6350309687016776,-0.4686448347084499,0.9852439850293537,0.9950775907113194,1.1222966839634252,0.7393906701141326,0,0,0,1,0,0,0,0,0,0,1,0
3,-0.9012552840181193,-0.7121518397411272,-1.2172187574333722,-1.31482493679141,-0.894639549426496,-0.009287139405865528,-0.859745017675031,-0.6350309687016776,-0.7523914926176368,-1.4062722478403535,-0.9177516313686906,1.807468487618228,-0.6306706117321609,0,0,0,0,0,1,0,1,0,0,0,0
4,2.63949107180476,-0.7121518397411272,-0.010976778756479745,0.11261584969249212,0.34889531324243117,0.7182054473869395,0.31037127085951877,1.5747263508179803,1.2338351127466711,-0.21051413140549993,-0.9177516313686906,-1.2758046288283857,-0.9221730121249893,1,1,0,0,0,0,0,0,1,0,0,0
5,0.48975221291229776,1.472648190796273,-0.6811112113547533,0.11261584969249212,0.34889531324243117,-0.7367797261986706,1.4804875593940685,-0.6350309687016776,-1.3198848084360104,0.9852439850293537,0.03866297967131437,2.492640291273031,1.2932452308605067,1,0,0,1,0,1,0,0,0,0,0,0
6,-1.1541657380054677,-0.7121518397411272,0.0622367543495586,0.11261584969249212,-0.894639549426496,-0.7367797261986706,-0.859745017675031,-0.6350309687016776,2.3688217443834185,-1.4062722478403535,0.03866297967131437,-0.5906328251735826,-1.2136754125178175,1,1,0,0,0,1,0,0,1,0,0,0
7,0.1374374539146419,-0.7121518397411272,-0.010976778756479745,-1.31482493679141,-0.894639549426496,0.7182054473869395,1.0904487965492187,-0.6350309687016776,0.6663417969282975,-1.4062722478403535,0.03866297967131437,-0.5906328251735826,-1.3011261326356662,0,1,0,0,0,1,0,0,1,1,0,0
8,-1.0277105110117934,-0.7121518397411272,1.5973458594793768,0.011539840244932684,-0.894639549426496,-0.7367797261986706,-0.859745017675031,-0.6350309687016776,-1.3198848084360104,-1.4062722478403535,-0.9177516313686906,-0.5906328251735826,-1.0970744523606863,1,1,0,0,0,1,0,0,1,0,0,0
9,2.63949107180476,-0.7121518397411272,1.999426519038341,-1.31482493679141,-2.1381744120954234,-0.7367797261986706,-0.07966749198533116,1.5747263508179803,0.09884848110992378,-0.21051413140549993,-0.9177516313686906,0.09453897848122049,0.855991630271264,1,0,1,0,0,1,0,0,0,1,0,0
10,0.616207439905972,-0.7121518397411272,0.0622367543495586,-1.31482493679141,-0.894639549426496,-0.009287139405865528,0.31037127085951877,-0.6350309687016776,-1.0361381505268237,-0.21051413140549993,-0.9177516313686906,1.4648825857908265,-1.155374932439252,1,0,1,0,0,1,0,0,1,1,0,0
